,actual,predicted
368,[38.],[91.52756]
369,[18.],[13.9171095]
370,[27.],[18.622375]
371,[0.],[3.4663]
372,[16.],[23.087933]
373,[39.],[44.86249]
374,[0.],[3.209332]
375,[0.],[3.3051353]
376,[5.],[2.26252]
377,[15.],[11.08989]
378,[3.],[2.405446]
379,[71.],[117.48272]
380,[2.],[3.5970318]
381,[61.],[69.66185]
382,[48.],[45.490616]
383,[4.],[8.04194]
384,[3.],[4.03436]
385,[7.],[9.865532]
386,[95.],[145.47647]
387,[48.],[67.46058]
388,[442.],[424.73578]
389,[1.],[2.2610817]
390,[14.],[15.978996]
391,[0.],[5.840917]
392,[12.],[13.714068]
393,[68.],[48.06466]
394,[44.],[47.487778]
395,[57.],[72.11783]
396,[3.],[2.4049852]
397,[2.],[3.269999]
398,[6.],[5.4668407]
399,[1.],[2.3678467]
400,[8.],[7.8675756]
401,[41.],[39.402428]
402,[61.],[47.441994]
403,[4.],[2.452528]
404,[1.],[2.2719946]
405,[2.],[3.7759295]
406,[5.],[15.287884]
407,[20.],[30.307392]
408,[8.],[12.352238]
409,[17.],[16.759136]
410,[5.],[7.2912493]
411,[16.],[28.948921]
412,[106.],[120.865204]
413,[47.],[31.751638]
414,[25.],[23.880672]
415,[75.],[76.73152]
416,[4.],[4.0167203]
417,[6.],[16.675463]
418,[45.],[33.52934]
419,[2.],[2.2567246]
420,[14.],[40.056747]
421,[7.],[8.693332]
422,[3.],[5.865777]
423,[13.],[12.283226]
424,[9.],[7.153167]
425,[51.],[64.39354]
426,[4.],[3.0735807]
427,[13.],[11.036569]
428,[10.],[11.660174]
429,[5.],[3.483664]
430,[0.],[2.309477]
431,[37.],[42.005432]
432,[3.],[9.527409]
433,[38.],[33.302998]
434,[68.],[66.59456]
435,[3.],[11.1503]
436,[6.],[3.9248304]
437,[2.],[5.02141]
438,[12.],[17.455832]
439,[0.],[2.575133]
440,[4.],[3.5159335]
441,[4.],[4.6880426]
442,[60.],[55.36782]
443,[11.],[6.381592]
444,[35.],[41.374527]
445,[43.],[50.357765]
446,[2.],[2.2726517]
447,[18.],[11.477457]
448,[18.],[16.129482]
449,[160.],[85.19444]
450,[262.],[351.248]
451,[4.],[5.5144806]
452,[14.],[5.8001037]
453,[16.],[14.369815]
454,[22.],[27.771622]
455,[89.],[57.42808]
456,[82.],[93.10863]
457,[1.],[3.8709936]
458,[186.],[258.12665]
459,[7.],[5.847456]
460,[390.],[348.265]
461,[190.],[122.40143]
462,[6.],[5.928526]
463,[181.],[141.37567]
464,[62.],[71.08246]
465,[13.],[4.061181]
466,[70.],[69.68011]
467,[118.],[91.25374]
468,[229.],[271.4587]
469,[2.],[2.5103056]
470,[60.],[33.859978]
471,[4.],[2.987561]
472,[12.],[7.135619]
473,[156.],[136.43814]
474,[9.],[11.769985]
475,[1.],[2.5544822]
476,[20.],[29.071209]
477,[11.],[6.357788]
478,[122.],[147.35468]
479,[22.],[21.903141]
480,[439.],[419.6772]
481,[432.],[417.01898]
482,[12.],[18.98929]
483,[6.],[7.0579243]
484,[4.],[12.487165]
485,[46.],[52.130424]
486,[44.],[60.720703]
487,[4.],[5.8641443]
488,[3.],[2.312356]
489,[1.],[2.2602532]
490,[66.],[124.91211]
491,[1.],[3.1678424]
492,[3.],[3.0967941]
493,[88.],[135.21144]
494,[54.],[16.842093]
495,[37.],[23.606628]
496,[1.],[2.2627275]
497,[0.],[8.59333]
498,[16.],[6.050486]
499,[4.],[8.700639]
500,[58.],[106.27612]
501,[4.],[3.219193]
502,[7.],[8.383369]
503,[72.],[74.46146]
504,[10.],[8.886044]
505,[130.],[127.77519]
506,[4.],[3.9783087]
507,[1.],[4.731388]
508,[16.],[25.456947]
509,[57.],[59.228065]
510,[5.],[4.831023]
511,[6.],[4.416285]
512,[29.],[45.662155]
513,[122.],[85.35536]
514,[36.],[42.080032]
515,[77.],[37.350494]
516,[20.],[15.842985]
517,[1.],[3.2859666]
518,[55.],[23.18657]
519,[27.],[34.705456]
520,[59.],[70.34732]
521,[40.],[56.22149]
522,[96.],[102.35006]
523,[34.],[35.92086]
524,[6.],[3.9320846]
525,[7.],[4.4034]
526,[3.],[5.6038103]
527,[9.],[12.726151]
528,[0.],[2.2796652]
529,[37.],[11.545726]
530,[14.],[31.158339]
531,[4.],[3.8445811]
532,[61.],[57.26229]
533,[111.],[126.54323]
534,[58.],[69.26458]
535,[12.],[13.93498]
536,[93.],[69.56636]
537,[3.],[2.3316135]
538,[3.],[5.7486596]
539,[194.],[270.38193]
540,[2.],[5.785453]
541,[0.],[3.5377822]
542,[48.],[16.122046]
543,[24.],[14.125349]
544,[13.],[16.247082]
545,[144.],[155.45741]
546,[2.],[20.999767]
547,[1.],[2.5055695]
548,[59.],[78.81844]
549,[21.],[21.112526]
550,[5.],[4.200062]
551,[6.],[3.8218367]
552,[2.],[2.6284504]
553,[9.],[7.326108]
554,[0.],[2.2898748]
555,[1.],[5.045333]
556,[1.],[13.741837]
557,[22.],[15.565174]
558,[20.],[26.69355]
559,[34.],[52.481583]
560,[4.],[3.6649308]
561,[64.],[98.29631]
562,[66.],[73.50683]
563,[38.],[27.410793]
564,[3.],[10.72102]
565,[15.],[21.68023]
566,[5.],[2.8470418]
567,[1.],[3.4540906]
568,[3.],[11.00767]
569,[19.],[14.820125]
570,[1.],[2.2803068]
571,[8.],[8.947226]
572,[10.],[18.72311]
573,[1.],[4.5749035]
574,[9.],[17.347979]
575,[32.],[40.13049]
576,[144.],[159.10107]
577,[8.],[13.683297]
578,[66.],[86.84509]
579,[4.],[7.5606728]
580,[504.],[451.38675]
581,[16.],[24.985563]
582,[4.],[7.0349894]
583,[5.],[3.1769328]
584,[0.],[2.3499095]
585,[44.],[32.469387]
586,[39.],[41.163727]
587,[131.],[91.11403]
588,[33.],[25.02019]
589,[114.],[144.39545]
590,[39.],[33.760063]
591,[35.],[53.59864]
592,[27.],[39.554237]
593,[22.],[29.641895]
594,[98.],[116.80343]
595,[42.],[74.04187]
596,[77.],[68.80076]
597,[7.],[6.702138]
598,[109.],[122.23365]
599,[63.],[49.01258]
600,[1.],[2.2795844]
601,[2.],[4.190191]
602,[14.],[15.86038]
603,[58.],[64.133446]
604,[75.],[52.268375]
605,[131.],[93.485344]
606,[1.],[2.2769635]
607,[60.],[45.185196]
608,[3.],[4.2174025]
609,[3.],[4.119338]
610,[75.],[100.57918]
611,[6.],[6.006683]
612,[157.],[104.820015]
613,[279.],[309.9433]
614,[1.],[2.2704082]
615,[23.],[21.849186]
616,[16.],[18.183937]
617,[11.],[10.768439]
618,[33.],[13.816735]
619,[74.],[38.756363]
620,[19.],[15.91641]
621,[24.],[19.87038]
622,[8.],[14.323088]
623,[64.],[47.613297]
624,[15.],[6.017888]
625,[134.],[97.06377]
626,[7.],[7.6524277]
627,[2.],[2.628064]
628,[66.],[88.08153]
629,[77.],[43.415497]
630,[32.],[20.156057]
631,[83.],[73.0332]
632,[12.],[29.002518]
633,[148.],[158.68051]
634,[1.],[6.8637686]
635,[13.],[11.629025]
636,[40.],[44.615807]
637,[26.],[33.58324]
638,[1.],[2.287139]
639,[3.],[3.6765242]
640,[34.],[19.196415]
641,[1.],[5.457511]
642,[6.],[7.4478045]
643,[48.],[55.517956]
644,[6.],[3.4182212]
645,[7.],[14.620811]
646,[0.],[4.654381]
647,[126.],[150.47458]
648,[41.],[25.744213]
649,[3.],[4.0542526]
650,[100.],[108.41968]
651,[9.],[14.448064]
652,[0.],[3.5538733]
653,[22.],[49.805008]
654,[7.],[6.1673136]
655,[2.],[3.765791]
656,[27.],[33.218426]
657,[5.],[2.3059523]
658,[4.],[3.5557861]
659,[4.],[4.083557]
660,[2.],[2.4918272]
661,[8.],[4.6242847]
662,[7.],[11.693831]
663,[5.],[5.4241486]
664,[8.],[13.818382]
665,[2.],[2.295438]
666,[120.],[127.18702]
667,[6.],[5.988043]
668,[131.],[135.34048]
669,[14.],[14.427401]
670,[37.],[38.269413]
671,[25.],[2.3911977]
672,[10.],[6.802969]
673,[32.],[20.706495]
674,[7.],[20.694504]
675,[98.],[102.31262]
676,[37.],[15.92775]
677,[25.],[33.24874]
678,[25.],[14.4799]
679,[0.],[2.2472842]
680,[3.],[3.3876615]
681,[6.],[2.3018136]
682,[17.],[23.814663]
683,[52.],[50.04667]
684,[0.],[8.315004]
685,[13.],[14.116003]
686,[23.],[28.081795]
687,[2.],[11.716674]
688,[5.],[8.4093485]
689,[18.],[16.053068]
690,[54.],[50.60351]
691,[46.],[48.591217]
692,[12.],[14.432634]
693,[0.],[2.281558]
694,[76.],[91.511566]
695,[38.],[32.218384]
696,[2.],[3.4476204]
697,[1.],[3.3100624]
698,[46.],[59.556664]
699,[5.],[2.4166255]
700,[8.],[12.285629]
701,[5.],[2.3710997]
702,[16.],[3.4854696]
703,[0.],[2.3067412]
704,[4.],[4.2390337]
705,[6.],[6.3287086]
706,[110.],[113.90578]
707,[90.],[115.11693]
708,[2.],[2.7504454]
709,[42.],[12.778685]
710,[18.],[30.041348]
711,[25.],[20.229267]
712,[9.],[2.7940943]
713,[51.],[150.91133]
714,[9.],[10.756482]
715,[9.],[14.806036]
716,[93.],[51.444668]
717,[1.],[2.3939197]
718,[16.],[25.68039]
719,[0.],[2.281669]
720,[250.],[269.83026]
721,[346.],[424.23114]
722,[54.],[59.966553]
723,[11.],[7.728487]
724,[26.],[18.84399]
725,[22.],[21.447372]
726,[86.],[111.04997]
727,[1.],[4.993328]
728,[18.],[24.20134]
729,[61.],[89.03335]
730,[22.],[21.886913]
731,[2.],[2.935997]
732,[9.],[5.750086]
733,[1.],[2.2735894]
734,[8.],[3.6118453]
735,[15.],[21.37578]
736,[2.],[2.5471854]
737,[18.],[13.499357]
738,[37.],[36.798725]
739,[30.],[15.361174]
740,[23.],[44.378475]
741,[1.],[5.4111605]
742,[27.],[37.234734]
743,[5.],[4.7860494]
744,[8.],[8.1546545]
745,[162.],[133.95358]
746,[7.],[4.233274]
747,[5.],[11.916155]
748,[13.],[16.94266]
749,[6.],[4.0311]
750,[3.],[2.441868]
751,[18.],[20.093744]
752,[27.],[79.20941]
753,[10.],[12.156483]
754,[9.],[21.09311]
755,[20.],[7.945258]
756,[93.],[123.166]
757,[42.],[37.031803]
758,[96.],[135.6148]
759,[1.],[2.2709029]
760,[4.],[2.2842507]
761,[1.],[2.2699416]
762,[42.],[10.975971]
763,[2.],[7.133355]
764,[19.],[21.184929]
765,[136.],[122.29105]
766,[33.],[37.332054]
767,[31.],[33.936016]
768,[62.],[69.74549]
769,[0.],[2.28914]
770,[0.],[2.3988345]
771,[64.],[75.57097]
772,[59.],[76.47406]
773,[2.],[5.804764]
774,[1.],[2.3098736]
775,[646.],[510.11978]
776,[83.],[49.59089]
777,[6.],[5.28799]
778,[101.],[116.41428]
779,[29.],[30.532967]
780,[52.],[91.35118]
781,[13.],[16.123878]
782,[22.],[11.821991]
783,[11.],[17.239496]
784,[9.],[5.5629263]
785,[110.],[108.68855]
786,[11.],[8.235456]
787,[86.],[109.12361]
788,[17.],[26.569126]
789,[1.],[8.818392]
790,[7.],[20.862936]
791,[24.],[42.28689]
792,[3.],[4.4216785]
793,[74.],[75.54435]
794,[1.],[2.641501]
795,[31.],[22.363157]
796,[12.],[8.0883]
797,[66.],[67.23216]
798,[18.],[21.630817]
799,[90.],[143.19522]
800,[23.],[28.819744]
801,[0.],[2.9091156]
802,[32.],[22.132948]
803,[72.],[94.9361]
804,[79.],[81.755875]
805,[8.],[11.414696]
806,[3.],[3.3342977]
807,[12.],[4.0470476]
808,[0.],[3.6205153]
809,[88.],[90.413086]
810,[128.],[114.8274]
811,[106.],[126.29857]
812,[344.],[354.21048]
813,[16.],[19.611889]
814,[111.],[114.57138]
815,[92.],[108.787636]
816,[28.],[28.838192]
817,[18.],[4.681464]
818,[37.],[44.54209]
819,[1.],[2.3058622]
820,[34.],[27.613087]
821,[63.],[87.59546]
822,[4.],[3.1434565]
823,[1.],[2.2855427]
824,[1.],[2.3424222]
825,[55.],[85.44423]
826,[5.],[7.7000914]
827,[1.],[2.2719502]
828,[22.],[28.555597]
829,[0.],[3.362976]
830,[7.],[3.7305787]
831,[40.],[18.654634]
832,[18.],[8.665496]
833,[132.],[144.74725]
834,[11.],[7.2455225]
835,[24.],[45.396637]
836,[53.],[81.433624]
837,[25.],[20.573301]
838,[14.],[8.777486]
839,[7.],[5.820425]
840,[82.],[65.19783]
841,[311.],[435.58264]
842,[13.],[11.659241]
843,[1.],[2.5948007]
844,[27.],[15.612257]
845,[59.],[81.51744]
846,[106.],[98.00121]
847,[154.],[190.31514]
848,[58.],[48.521637]
849,[2.],[2.273383]
850,[62.],[29.314102]
851,[38.],[53.986565]
852,[8.],[4.65959]
853,[121.],[80.000465]
854,[71.],[129.10129]
855,[25.],[46.048737]
856,[33.],[35.22949]
857,[45.],[52.85806]
858,[131.],[151.18565]
859,[145.],[86.28303]
860,[18.],[24.93643]
861,[1.],[2.980515]
862,[77.],[111.75951]
