,name,SID,timestamp,visitors,avgDuration,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,injected_value,anomaly
478,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 02:00:00+02:00,22.0,32.76,6,0.4999999999999999,0.8660254037844387,-0.7818314824680299,0.6234898018587334,22.0,0.0
479,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 03:00:00+02:00,14.0,18.95,6,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.0,1.0
480,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 04:00:00+02:00,20.0,18.19,6,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,20.0,0.0
481,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 05:00:00+02:00,17.0,24.2825,6,0.9659258262890684,0.2588190451025207,-0.7818314824680299,0.6234898018587334,0.0,1.0
482,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 06:00:00+02:00,29.0,15.28,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,29.0,0.0
483,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 07:00:00+02:00,40.0,21.37,6,0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,40.0,0.0
484,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 08:00:00+02:00,122.0,21.11,6,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,122.0,0.0
485,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 09:00:00+02:00,207.0,19.343333333333334,6,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,207.0,0.0
486,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 10:00:00+02:00,437.0,27.98,6,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,865.5450362145814,1.0
487,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 11:00:00+02:00,675.0,19.605,6,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,675.0,0.0
488,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 12:00:00+02:00,587.0,14.1,6,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,587.0,0.0
489,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 13:00:00+02:00,542.0,13.26,6,-0.2588190451025208,-0.9659258262890684,-0.7818314824680299,0.6234898018587334,970.5450362145814,1.0
490,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 14:00:00+02:00,558.0,19.39,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,558.0,0.0
491,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 15:00:00+02:00,626.0,19.55666666666667,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,626.0,0.0
492,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 16:00:00+02:00,399.0,18.75,6,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.0,1.0
493,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 17:00:00+02:00,307.0,15.116666666666664,6,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,307.0,0.0
494,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 18:00:00+02:00,164.0,13.13,6,-1.0,-1.8369701987210294e-16,-0.7818314824680299,0.6234898018587334,164.0,0.0
495,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 19:00:00+02:00,175.0,15.23,6,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,175.0,0.0
496,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 20:00:00+02:00,117.0,11.39,6,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,545.5450362145814,1.0
497,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 21:00:00+02:00,60.0,12.865,6,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,60.0,0.0
498,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 22:00:00+02:00,55.0,12.39,6,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,55.0,0.0
499,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-06 23:00:00+02:00,10.0,4.38,6,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,10.0,0.0
500,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 00:00:00+02:00,10.0,26.725,6,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,10.0,0.0
501,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 01:00:00+02:00,34.0,35.055,0,0.2588190451025207,0.9659258262890684,0.0,1.0,34.0,0.0
502,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 02:00:00+02:00,22.0,42.0625,0,0.2588190451025207,0.9659258262890684,0.0,1.0,22.0,0.0
503,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 03:00:00+02:00,11.0,49.07,0,0.7071067811865475,0.7071067811865476,0.0,1.0,11.0,0.0
504,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 04:00:00+02:00,19.0,13.32,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,1.0
505,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 05:00:00+02:00,48.0,23.74,0,0.9659258262890684,0.2588190451025207,0.0,1.0,0.0,1.0
506,Innenstadt,3cc1e766-97c5-4ed0-92c3-a800b5be8658,2025-07-07 06:00:00+02:00,94.0,16.72,0,1.0,6.123233995736766e-17,0.0,1.0,522.5450362145814,1.0
